Designator,Footprint,Quantity,Value,Manufacturer,MPN,Rating/Tolerance/Other,LCSC Part #,Substitute?
"C1, C28, C29, C30, C31, C33, C36, C39, C42, C45, C5, C7, C75, C76, C77, C78, C83, C10, C11, C12, C14, C26, C27, C3, C8, C9",0603,17,100nF,,,15V 20%,,
"C13, C15, C16, C2, C4, C6",0603,6,10uF,,,15V 20%,,
"C17, C18, C19, C20, C21, C22, C23, C24",0805,8,22uF,Panasonic/TDK,C2012X5R1V226M125AC, 35V X5R 20%,,
"C25, C53, C64, C68",0603,4,1uF,,,15V 20%,,
"C32, C49, C74",0603,3,4.7uF,,,15V 20%,,
"C35, C38, C41, C44, C47, C84",0603,6,10nF,,,15V 20%,,
"C48, C54, C55, C56, C57, C62, C63",0402,7,100nF,,,15V 20%,,
C50,PCAP_EEHZ_F_PAN,1,68uF,Panasonic/TDK,EEH-ZA1H680P,CAP ALUM HYBRID 68UF 20% 50V SMD,,"Yes, with same parameters"
"C51, C52, C65, C66, C67",1206,5,10uF,,,15V 20%,,
C58,0402,1,10nF,,,15V 20%,,
C59,0402,1,100pF,TDK,CGA2B2C0G1H101J050BA,CAP CER 100PF 50V C0G 0402,,"Yes, with same parameters"
C60,0402,1,4700pF,TDK,CGA2B2X7R1H472K050BA,CAP CER 4700PF 50V X7R 0402,,"Yes, with same parameters"
C61,0402,1,220nF,,,15V 20%,,
C69,CP_Elec_6.3x5.8,1,100uF,Panasonic/TDK,EEH-ZK1V101XP,CAP ALUMHYB 100UF 20% 35V SMD,,"Yes, with same parameters"
"C70, C72, C73",0402,3,4.7uF,,,15V 20%,,
C71,0402,1,1uF,,,15V 20%,,
"D1, D5, D8",D_SOD-123F,3,MBR120,onSemi,MBR120LSFT3G,DIODE SCHOTTKY 20V 1A SOD123FL,,"Yes, with same parameters"
D10,D_SOD-323F,1,24V 550mW,Nexperia,"BZX84J-B24,115",DIODE ZENER 24V 550MW SOD323F,,"Yes, with same parameters"
"D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D22, D23",SOT-23,12,BAT17,Infineon,BAT17E6327HTSA1,DIODE SCHOTTKY 4V 150MW SOT23-3,,"Yes, with same parameters"
"D2, D3, D4",D_SOD-323,3,5VWM,Diodes Inc,DESD5V0U1BA-7,TVS DIODE 5VWM 7.2VC SOD323,,"Yes, with same parameters"
D21,0603,1,RED,,,"LED, GREEN",,
D6,0603,1,5V,,,"LED, GREEN",,
D7,0603,1,BUSY,,,"LED, RED",,
D9,0603,1,3V3,,,"LED, GREEN",,
