Designator,Mid X,Mid Y,Rotation,Layer
C1,146.366,-110.3405,90.0,top
C10,128.966,-89.478,270.0,top
C11,132.616,-82.953,90.0,top
C12,134.366,-82.978,90.0,top
C13,141.366,-119.478,90.0,top
C14,142.866,-110.478,90.0,top
C15,141.366,-110.478,90.0,top
C16,139.866,-110.478,90.0,top
C17,76.366,-80.778,90.0,top
C18,74.116,-80.778,90.0,top
C19,69.866,-80.778,90.0,top
C2,147.866,-110.3405,90.0,top
C20,67.616,-80.783,90.0,top
C21,65.366,-80.778,90.0,top
C22,78.616,-80.778,90.0,top
C23,71.966,-80.778,90.0,top
C24,80.866,-80.828,90.0,top
C25,65.116,-105.353,270.0,top
C26,66.616,-105.353,270.0,top
C27,66.616,-102.128,90.0,top
C28,91.366,-103.978,0.0,top
C29,91.766,-108.578,0.0,top
C3,127.391,-103.628,180.0,top
C30,78.616,-124.728,0.0,top
C31,67.591,-122.478,0.0,top
C32,83.366,-101.478,0.0,top
C33,112.366,-114.678,0.0,top
C35,112.366,-117.178,0.0,top
C36,95.391,-121.228,0.0,top
C38,95.391,-123.728,0.0,top
C39,112.616,-134.978,0.0,top
C4,154.866,-118.3405,270.0,top
C41,112.616,-137.478,0.0,top
C42,90.116,-132.228,0.0,top
C44,90.116,-134.728,0.0,top
C45,73.745,-134.895,0.0,top
C47,73.745,-138.095,0.0,top
C48,103.641,-95.828,0.0,top
C49,92.621,-95.578,180.0,top
C5,156.366,-118.3405,270.0,top
C50,112.766,-82.7848,90.0,top
C51,100.641,-86.078,180.0,top
C52,100.641,-83.578,180.0,top
C53,99.641,-88.328,180.0,top
C54,99.141,-89.578,180.0,top
C55,99.141,-90.578,180.0,top
C56,99.621,-97.078,0.0,top
C57,96.621,-97.078,180.0,top
C58,103.621,-92.078,0.0,top
C59,88.851,-92.078,180.0,top
C6,155.366,-120.978,0.0,top
C60,88.871,-93.078,180.0,top
C61,94.121,-91.328,90.0,top
C62,97.141,-90.578,0.0,top
C63,97.141,-89.578,0.0,top
C64,96.616,-88.328,0.0,top
C65,95.641,-86.078,0.0,top
C66,95.641,-83.578,0.0,top
C67,95.621,-81.078,0.0,top
C68,86.416,-88.828,270.0,top
C69,80.916,-87.828,270.0,top
C7,155.366,-122.478,0.0,top
C70,119.116,-128.728,0.0,top
C71,125.616,-128.728,270.0,top
C72,119.116,-129.978,0.0,top
C73,119.1835,-131.228,0.0,top
C74,113.991,-126.578,180.0,top
C75,80.566,-108.178,180.0,top
C76,81.566,-117.178,270.0,top
C77,70.966,-116.178,90.0,top
C78,62.391,-130.378,0.0,top
C8,134.366,-89.478,270.0,top
C83,76.645,-143.595,0.0,top
C84,76.645,-146.895,0.0,top
C9,131.766,-89.578,270.0,top
D1,151.366,-107.978,90.0,top
D10,62.866,-80.378,90.0,top
D11,101.866,-113.178,180.0,top
D12,107.116,-120.178,180.0,top
D13,84.891,-119.728,180.0,top
D14,90.141,-126.728,180.0,top
D15,102.116,-133.478,180.0,top
D16,107.366,-140.478,180.0,top
D17,79.616,-130.728,180.0,top
D18,84.866,-137.728,180.0,top
D19,63.545,-134.695,180.0,top
D2,140.866,-94.978,0.0,top
D20,69.845,-140.245,180.0,top
D21,138.366,-150.178,90.0,top
D22,62.245,-142.595,270.0,top
D23,66.345,-142.595,180.0,top
