vout,adc1,142,adc2,142,adc3,142,adc4,142,power
800,47,142,236,142,473,142,946,142,0.096
850,47,142,236,142,473,142,946,142,0.096
900,47,142,236,142,473,142,946,142,0.096
950,47,142,236,142,473,142,946,142,0.096
1000,47,142,236,142,473,142,946,142,0.096
1050,47,142,236,142,473,142,946,142,0.096
1100,47,142,236,142,473,142,946,142,0.096
1150,47,142,236,142,473,142,946,142,0.096
1200,47,142,236,142,473,142,946,142,0.096
1250,47,142,236,142,473,142,946,142,0.096
1300,47,142,236,142,473,142,946,142,0.096
1350,47,142,236,142,473,142,946,142,0.096
1400,47,142,236,142,473,142,946,142,0.096
1450,47,142,236,142,473,142,946,142,0.096
1500,47,142,236,142,473,142,946,142,0.096
1550,47,142,236,142,473,142,946,142,0.096
1600,47,142,236,142,473,142,946,142,0.096
1650,47,142,236,142,473,142,946,142,0.096
1700,577,1733,236,142,473,142,946,142,0.096
1750,784,2354,236,142,473,142,946,142,0.096
1800,854,2563,236,142,473,142,946,142,0.096
1850,868,2604,260,156,473,142,946,142,0.096
1900,868,2606,446,268,886,266,946,142,0.101
1950,868,2604,511,307,706,212,946,142,0.097
2000,867,2602,675,405,473,142,946,142,0.104
2050,869,2607,760,456,1076,323,946,142,0.114
2100,868,2606,773,464,660,198,946,142,0.118
2150,867,2603,851,511,633,190,946,142,0.131
2200,867,2602,893,536,510,153,946,142,0.136
2250,868,2604,915,549,806,242,946,142,0.152
2300,867,2602,935,561,753,226,946,142,0.156
2350,868,2604,985,591,1006,302,946,142,0.166
2400,868,2604,1025,615,1163,349,946,142,0.175
2450,867,2601,1051,631,1170,351,946,142,0.179
2500,867,2602,1118,671,1216,365,1046,157,0.183
2550,866,2599,1140,684,1266,380,1126,169,0.186
2600,866,2600,1180,708,1290,387,1253,188,0.194
2650,864,2594,1220,732,1343,403,1293,194,0.198
2700,861,2583,1251,751,1373,412,1420,213,0.208
2750,860,2581,1248,749,1376,413,1406,211,0.209
2800,859,2578,1265,759,1376,413,1446,217,0.209
2850,855,2565,1301,781,1436,431,1513,227,0.222
2900,853,2560,1386,832,1460,438,1566,235,0.23
2950,847,2541,1408,845,1456,437,1646,247,0.238
3000,838,2514,1455,873,1520,456,1726,259,0.248
3050,830,2490,1485,891,1536,461,1760,264,0.244
3100,827,2483,1525,915,1570,471,1813,272,0.265
3150,815,2447,1536,922,1566,470,1840,276,0.262
3200,801,2404,1571,943,1623,487,1906,286,0.265
3250,794,2383,1615,969,1653,496,1946,292,0.266
3300,795,2387,1676,1006,1730,519,2000,300,0.279
3350,799,2397,1691,1015,1736,521,2006,301,0.285
3400,838,2514,1743,1046,1803,541,2080,312,0.29
3450,845,2537,1875,1125,1883,565,2180,327,0.316
3500,845,2535,1931,1159,1893,568,2240,336,0.324
3550,842,2528,1976,1186,1926,578,2260,339,0.326
3600,842,2527,2015,1209,1980,594,2286,343,0.332
3650,841,2525,2038,1223,2046,614,2306,346,0.347
3700,838,2514,2095,1257,2143,643,2366,355,0.344
3750,838,2515,2136,1282,2176,653,2400,360,0.35
3800,838,2515,2160,1296,2156,647,2420,363,0.365
3850,838,2516,2155,1293,2226,668,2440,366,0.368
3900,839,2519,2193,1316,2220,666,2460,369,0.372
3950,836,2510,2233,1340,2300,690,2520,378,0.383
4000,835,2507,2243,1346,2276,683,2546,382,0.38
4050,827,2483,2331,1399,2383,715,2640,396,0.397
4100,821,2464,2365,1419,2410,723,2673,401,0.411
4150,787,2363,2468,1481,2503,751,2753,413,0.428
4200,789,2368,2476,1486,2460,738,2740,411,0.448
4250,849,2548,2611,1567,2636,791,2866,430,0.439
4300,854,2563,2655,1593,2660,798,2913,437,0.455
4350,837,2511,2630,1578,2650,795,2813,422,0.446
4400,845,2535,2650,1590,2620,786,2860,429,0.446
4450,859,2577,2710,1626,2723,817,2953,443,0.451
4500,862,2588,2781,1669,2790,837,3020,453,0.466
4550,871,2613,2831,1699,2813,844,3060,459,0.467
4600,859,2578,2753,1652,2736,821,3013,452,0.448
4650,873,2621,2991,1795,3066,920,3140,471,0.496
4700,873,2620,3041,1825,3140,942,3193,479,0.516
4750,873,2621,3085,1851,3186,956,3226,484,0.508
4800,873,2621,3081,1849,3190,957,3226,484,0.496
4850,873,2621,3091,1855,3170,951,3233,485,0.495
4900,873,2621,3098,1859,3190,957,3380,507,0.477
4950,873,2621,3261,1957,3400,1020,3506,526,0.514
5000,873,2621,3398,2039,3526,1058,3653,548,0.517
5050,874,2623,3466,2080,3563,1069,3686,553,0.532
5100,875,2625,3515,2109,3620,1086,3740,561,0.543
5150,874,2624,3551,2131,3653,1096,3806,571,0.542
5200,875,2625,3605,2163,3733,1120,3840,576,0.548
5250,873,2621,3633,2180,3793,1138,3866,580,0.541
5300,873,2621,3703,2222,3876,1163,3933,590,0.56
5350,873,2621,3723,2234,3896,1169,3966,595,0.56
5400,874,2623,3740,2244,3850,1155,3986,598,0.58
5450,874,2622,3773,2264,3926,1178,4173,626,0.581
5500,875,2625,3803,2282,3980,1194,4206,631,0.607
5550,873,2621,3828,2297,3943,1183,4246,637,0.58
5600,873,2621,3850,2310,4046,1214,4280,642,0.585
5650,874,2624,3880,2328,4043,1213,4326,649,0.625
5700,874,2623,3893,2336,4103,1231,4353,653,0.617
5750,873,2621,3913,2348,4113,1234,4373,656,0.608
5800,873,2621,3926,2356,4183,1255,4413,662,0.613
5850,873,2621,3926,2356,4280,1284,4520,678,0.623
5900,873,2621,3915,2349,4340,1302,4560,684,0.642
5950,873,2621,3911,2347,4380,1314,4606,691,0.645
6000,874,2624,3918,2351,4413,1324,4633,695,0.669
6050,873,2621,3925,2355,4470,1341,4693,704,0.657
6100,874,2623,3933,2360,4473,1342,4726,709,0.685
6150,874,2624,3933,2360,4506,1352,4753,713,0.697
6200,874,2624,3935,2361,4516,1355,4780,717,0.69
6250,873,2621,3935,2361,4600,1380,4826,724,0.678
6300,874,2622,3936,2362,4680,1404,4860,729,0.713
6350,873,2621,3935,2361,4676,1403,4886,733,0.688
6400,873,2620,3933,2360,4700,1410,4920,738,0.684
6450,874,2623,3933,2360,4736,1421,4966,745,0.73
6500,873,2621,3933,2360,4806,1442,5020,753,0.715
6550,875,2625,3928,2357,4883,1465,5066,760,0.733
6600,873,2621,3920,2352,4833,1450,5120,768,0.713
6650,874,2623,3920,2352,5023,1507,5213,782,0.742
6700,873,2619,3921,2353,5046,1514,5240,786,0.734
6750,873,2621,3918,2351,5066,1520,5240,786,0.725
6800,874,2623,3925,2355,5080,1524,5260,789,0.746
6850,874,2622,3921,2353,5100,1530,5280,792,0.745
6900,873,2620,3920,2352,5143,1543,5333,800,0.732
6950,873,2620,3933,2360,5190,1557,5413,812,0.734
7000,874,2623,3938,2363,5293,1588,5446,817,0.762
7050,874,2623,3935,2361,5346,1604,5520,828,0.757
7100,873,2620,3935,2361,5313,1594,5560,834,0.745
7150,873,2621,3933,2360,5393,1618,5586,838,0.748
7200,873,2621,3935,2361,5463,1639,5660,849,0.746
7250,873,2620,3926,2356,5523,1657,5740,861,0.765
7300,874,2622,3923,2354,5593,1678,5786,868,0.783
7350,874,2622,3925,2355,5580,1674,5833,875,0.802
7400,874,2622,3935,2361,5686,1706,5886,883,0.803
7450,875,2625,3940,2364,5710,1713,5940,891,0.81
7500,874,2623,3936,2362,5770,1731,5980,897,0.799
7550,873,2621,3920,2352,5726,1718,6026,904,0.801
7600,873,2620,3923,2354,5830,1749,6080,912,0.765
7650,873,2620,3946,2368,5846,1754,6186,928,0.753
7700,873,2620,3965,2379,5933,1780,6233,935,0.747
7750,873,2620,4001,2401,6046,1814,6373,956,0.772
7800,874,2622,4033,2420,6216,1865,6466,970,0.79
7850,874,2623,4055,2433,6260,1878,6520,978,0.779
7900,873,2620,4065,2439,6236,1871,6593,989,0.758
7950,873,2620,4080,2448,6183,1855,6640,996,0.766
8000,873,2621,4093,2456,6353,1906,6713,1007,0.788
8050,873,2619,4098,2459,6353,1906,6720,1008,0.791
8100,873,2619,4116,2470,6430,1929,6813,1022,0.774
8150,874,2623,4126,2476,6536,1961,6846,1027,0.79
8200,873,2620,4135,2481,6480,1944,6873,1031,0.776
8250,873,2619,4148,2489,6540,1962,6953,1043,0.778
8300,873,2621,4155,2493,6616,1985,7000,1050,0.805
8350,873,2621,4161,2497,6703,2011,7060,1059,0.805
8400,873,2621,4183,2510,6766,2030,7153,1073,0.801
8450,872,2618,4191,2515,6740,2022,7220,1083,0.782
8500,873,2619,4198,2519,6750,2025,7286,1093,0.781
8550,873,2619,4203,2522,6933,2080,7340,1101,0.785
